iter	Passed	Remaining
0	216	216615
1	302	150928
2	383	127506
3	457	114032
4	561	111743
5	658	109070
6	759	107730
7	837	103825
8	914	100698
9	991	98123
10	1114	100160
11	1184	97532
12	1245	94584
13	1303	91809
14	1364	89617
15	1430	87976
16	1487	86023
17	1553	84735
18	1616	83468
19	1671	81925
20	1737	81022
21	1807	80364
22	1887	80191
23	1957	79594
24	2056	80198
25	2130	79827
26	2210	79643
27	2283	79278
28	2346	78576
29	2406	77796
30	2471	77256
31	2533	76642
32	2591	75937
33	2661	75612
34	2726	75166
35	2793	74797
36	2878	74909
37	2971	75220
38	3044	75022
39	3107	74573
40	3167	74081
41	3232	73727
42	3302	73501
43	3358	72973
44	3421	72607
45	3478	72146
46	3562	72227
47	3625	71901
48	3699	71797
49	3776	71748
50	3841	71474
51	3910	71297
52	3966	70867
53	4036	70706
54	4103	70505
55	4163	70185
56	4221	69847
57	4281	69541
58	4338	69200
59	4398	68913
60	4462	68690
61	4527	68489
62	4588	68246
63	4646	67956
64	4704	67670
65	4767	67473
66	4823	67175
67	4876	66835
68	4941	66676
69	5001	66452
70	5068	66324
71	5151	66402
72	5237	66505
73	5305	66389
74	5381	66374
75	5441	66162
76	5509	66036
77	5584	66016
78	5665	66047
79	5730	65904
80	5790	65695
81	5848	65478
82	5908	65278
83	5973	65139
84	6038	65008
85	6109	64930
86	6186	64919
87	6255	64830
88	6323	64727
89	6384	64555
90	6456	64492
91	6519	64347
92	6581	64186
93	6645	64052
94	6704	63871
95	6781	63856
96	6853	63804
97	6923	63720
98	7004	63747
99	7106	63960
100	7192	64023
101	7281	64103
102	7357	64075
103	7428	64001
104	7487	63820
105	7541	63601
106	7600	63434
107	7659	63258
108	7715	63069
109	7781	62960
110	7842	62808
111	7902	62656
112	7961	62495
113	8012	62273
114	8071	62111
115	8131	61968
116	8180	61735
117	8242	61606
118	8299	61441
119	8356	61282
120	8414	61128
121	8474	60985
122	8534	60851
123	8606	60803
124	8678	60746
125	8759	60760
126	8833	60723
127	8914	60731
128	8986	60674
129	9059	60628
130	9139	60628
131	9205	60534
132	9272	60447
133	9339	60361
134	9409	60288
135	9481	60232
136	9543	60114
137	9596	59945
138	9650	59780
139	9709	59645
140	9768	59511
141	9860	59576
142	9912	59405
143	9970	59268
144	10032	59154
145	10129	59248
146	10211	59255
147	10286	59218
148	10374	59252
149	10441	59167
150	10504	59059
151	10561	58924
152	10622	58808
153	10687	58713
154	10752	58618
155	10819	58534
156	10882	58432
157	10935	58278
158	11016	58271
159	11087	58211
160	11159	58154
161	11227	58079
162	11283	57940
163	11339	57801
164	11399	57690
165	11456	57557
166	11518	57454
167	11571	57306
168	11634	57206
169	11689	57071
170	11748	56958
171	11836	56978
172	11906	56918
173	11994	56938
174	12080	56950
175	12176	57010
176	12257	56992
177	12376	57153
178	12474	57214
179	12563	57233
180	12643	57209
181	12720	57170
182	12796	57129
183	12862	57040
184	12937	56994
185	12999	56890
186	13068	56818
187	13151	56801
188	13276	56969
189	13372	57008
190	13468	57045
191	13562	57075
192	13639	57033
193	13740	57086
194	13830	57096
195	14043	57607
196	14124	57572
197	14197	57509
198	14282	57488
199	14360	57443
200	14434	57380
201	14522	57371
202	14623	57413
203	14705	57378
204	14780	57321
205	14862	57286
206	14927	57185
207	15000	57116
208	15078	57068
209	15142	56965
210	15212	56884
211	15282	56803
212	15349	56713
213	15413	56611
214	15483	56532
215	15542	56413
216	15619	56360
217	15690	56285
218	15765	56223
219	15841	56166
220	15912	56088
221	15978	55996
222	16047	55912
223	16118	55839
224	16172	55704
225	16223	55561
226	16276	55426
227	16332	55301
228	16391	55187
229	16445	55057
230	16504	54944
231	16567	54845
232	16635	54760
233	16708	54696
234	16781	54628
235	16851	54551
236	16917	54463
237	16973	54342
238	17026	54215
239	17079	54084
240	17131	53952
241	17189	53840
242	17244	53720
243	17298	53596
244	17364	53512
245	17426	53412
246	17489	53317
247	17541	53188
248	17592	53059
249	17648	52945
250	17704	52829
251	17753	52697
252	17822	52622
253	17887	52535
254	17936	52404
255	17993	52292
256	18048	52179
257	18105	52071
258	18167	51978
259	18219	51856
260	18269	51727
261	18327	51625
262	18388	51530
263	18448	51431
264	18503	51322
265	18561	51219
266	18626	51135
267	18698	51072
268	18755	50966
269	18818	50880
270	18876	50777
271	18928	50661
272	18990	50572
273	19045	50462
274	19099	50352
275	19154	50246
276	19205	50128
277	19262	50026
278	19318	49922
279	19375	49823
280	19425	49703
281	19484	49610
282	19538	49501
283	19595	49401
284	19650	49298
285	19713	49213
286	19769	49112
287	19830	49025
288	19892	48938
289	19945	48832
290	19999	48727
291	20055	48627
292	20114	48536
293	20171	48438
294	20222	48328
295	20277	48227
296	20332	48127
297	20389	48032
298	20444	47932
299	20507	47849
300	20565	47758
301	20621	47662
302	20675	47560
303	20733	47469
304	20803	47404
305	20865	47323
306	20919	47221
307	20971	47116
308	21027	47021
309	21085	46933
310	21144	46844
311	21197	46743
312	21256	46656
313	21327	46594
314	21398	46534
315	21476	46487
316	21552	46436
317	21621	46371
318	21689	46302
319	21759	46238
320	21828	46173
321	21916	46147
322	21979	46068
323	22044	45994
324	22109	45919
325	22165	45826
326	22223	45738
327	22286	45659
328	22339	45560
329	22396	45471
330	22456	45387
331	22507	45286
332	22568	45204
333	22626	45116
334	22683	45028
335	22745	44949
336	22801	44859
337	22866	44784
338	22922	44695
339	22975	44599
340	23034	44514
341	23089	44424
342	23141	44325
343	23191	44225
344	23254	44149
345	23310	44061
346	23365	43969
347	23426	43891
348	23493	43822
349	23552	43741
350	23607	43650
351	23659	43555
352	23722	43479
353	23781	43398
354	23838	43313
355	23896	43229
356	23952	43141
357	24007	43051
358	24062	42964
359	24116	42874
360	24177	42795
361	24229	42703
362	24288	42621
363	24348	42543
364	24412	42471
365	24468	42385
366	24527	42305
367	24590	42230
368	24656	42163
369	24728	42105
370	24804	42053
371	24880	42001
372	24932	41911
373	24988	41824
374	25047	41746
375	25105	41664
376	25160	41578
377	25220	41500
378	25276	41416
379	25340	41345
